mark,bin_center,average_cpm
DNase,-2950,0.037059964344004354
DNase,-2940,0.036773060765849755
DNase,-2930,0.03628011086001202
DNase,-2920,0.03603330960451919
DNase,-2910,0.0360285586942868
DNase,-2900,0.03599364959196413
DNase,-2890,0.035530958317639076
DNase,-2880,0.03495483917137414
DNase,-2870,0.034964032768360936
DNase,-2860,0.03511565273069616
DNase,-2850,0.035483112743251034
DNase,-2840,0.03616247558066471
DNase,-2830,0.03678803402385376
DNase,-2820,0.03701288801004317
DNase,-2810,0.03787022950407929
DNase,-2800,0.03761179711236581
DNase,-2790,0.03720992128060194
DNase,-2780,0.03684110069052047
DNase,-2770,0.036172063779032586
DNase,-2760,0.035469461268047175
DNase,-2750,0.035664881104832985
DNase,-2740,0.035530822975517275
DNase,-2730,0.03520091073446269
DNase,-2720,0.03470542033898248
DNase,-2710,0.0344962121782795
DNase,-2700,0.034667628499685764
DNase,-2690,0.03480285624607621
DNase,-2680,0.03517012404268628
DNase,-2670,0.03543190872567435
DNase,-2660,0.03587370621468862
DNase,-2650,0.035743410420589504
DNase,-2640,0.03583693069679803
DNase,-2630,0.0360630573760194
DNase,-2620,0.036188307219082866
DNase,-2610,0.0359933613308218
DNase,-2600,0.036837462774638556
DNase,-2590,0.03757408524795912
DNase,-2580,0.039343992341493245
DNase,-2570,0.04086835831763883
DNase,-2560,0.04108543904582463
DNase,-2550,0.04081652567482652
DNase,-2540,0.04056914940364018
DNase,-2530,0.03954197124921453
DNase,-2520,0.040010783929691804
DNase,-2510,0.0399283790332698
DNase,-2500,0.039917438669176894
DNase,-2490,0.04014650533584355
DNase,-2480,0.04035522021343304
DNase,-2470,0.04049462975517815
DNase,-2460,0.041198149529189355
DNase,-2450,0.04198773559321933
DNase,-2440,0.041705560703074955
DNase,-2430,0.04184749830508396
DNase,-2420,0.042372590081606036
DNase,-2410,0.042712271186439686
DNase,-2400,0.042889291148774863
DNase,-2390,0.043457513873194194
DNase,-2380,0.04293702335216484
DNase,-2370,0.04267048399246608
DNase,-2360,0.04356823691148668
DNase,-2350,0.04439554099183804
DNase,-2340,0.04374154350282377
DNase,-2330,0.04404425800376542
DNase,-2320,0.04414863728813451
DNase,-2310,0.042670775015692754
DNase,-2300,0.04189275919648374
DNase,-2290,0.04183738556183222
DNase,-2280,0.04088964218455666
DNase,-2270,0.04091150897677247
DNase,-2260,0.040826267168862874
DNase,-2250,0.040437833396107244
DNase,-2240,0.040289455994977304
DNase,-2230,0.04036705750156863
DNase,-2220,0.04037773609541674
DNase,-2210,0.039964116509729385
DNase,-2200,0.03989766415568039
DNase,-2190,0.04001250307595659
DNase,-2180,0.04003557526679149
DNase,-2170,0.04020220188323856
DNase,-2160,0.04080880075329491
DNase,-2150,0.04073577903326972
DNase,-2140,0.040715973006904556
DNase,-2130,0.04121164055241607
DNase,-2120,0.04171675718769546
DNase,-2110,0.042142353546766355
DNase,-2100,0.04267083628374049
DNase,-2090,0.04312905097300621
DNase,-2080,0.04391771211550446
DNase,-2070,0.045061417827996574
DNase,-2060,0.04598436861267975
DNase,-2050,0.046794900564970585
DNase,-2040,0.047028249591964055
DNase,-2030,0.046896850847456525
DNase,-2020,0.04649928361581817
DNase,-2010,0.046404974011298415
DNase,-2000,0.047004866541116304
DNase,-1990,0.04732325800376534
DNase,-1980,0.04781268160702938
DNase,-1970,0.04818901996233406
DNase,-1960,0.04778510521029407
DNase,-1950,0.04730007219083388
DNase,-1940,0.047030672693030844
DNase,-1930,0.04663366089139856
DNase,-1920,0.04656659008160602
DNase,-1910,0.04668180489642072
DNase,-1900,0.047118160326427024
DNase,-1890,0.04723731613308116
DNase,-1880,0.04707922410546031
DNase,-1870,0.04699969591964739
DNase,-1860,0.04730146478342674
DNase,-1850,0.047139119774010294
DNase,-1840,0.04731360514751902
DNase,-1830,0.04859154500941507
DNase,-1820,0.04863951475203898
DNase,-1810,0.049006986691775445
DNase,-1800,0.04973930860012441
DNase,-1790,0.04951531136220835
DNase,-1780,0.04913440012554801
