status,distance_bin,beta
NBM,"(-2400.0, -2370.0]",0.3965726521583841
NBM,"(-2370.0, -2340.0]",0.37599519476190446
NBM,"(-2340.0, -2310.0]",0.34994238667792715
NBM,"(-2310.0, -2280.0]",0.3536297264688563
NBM,"(-2280.0, -2250.0]",0.3779639577097513
NBM,"(-2250.0, -2220.0]",0.3407970314231415
NBM,"(-2220.0, -2190.0]",0.3633265683228501
NBM,"(-2190.0, -2160.0]",0.34583919731879736
NBM,"(-2160.0, -2130.0]",0.3254605195539349
NBM,"(-2130.0, -2100.0]",0.3336579970545246
NBM,"(-2100.0, -2070.0]",0.35528239841595793
NBM,"(-2070.0, -2040.0]",0.33233825840909165
NBM,"(-2040.0, -2010.0]",0.33481065473799787
NBM,"(-2010.0, -1980.0]",0.3250930780816791
NBM,"(-1980.0, -1950.0]",0.29075579363636334
NBM,"(-1950.0, -1920.0]",0.30071336581794933
NBM,"(-1920.0, -1890.0]",0.279170324165758
NBM,"(-1890.0, -1860.0]",0.2696239095315167
NBM,"(-1860.0, -1830.0]",0.3038631900958936
NBM,"(-1830.0, -1800.0]",0.27002213003044523
NBM,"(-1800.0, -1770.0]",0.2779525968301352
NBM,"(-1770.0, -1740.0]",0.28116141810602324
NBM,"(-1740.0, -1710.0]",0.28925851841295436
NBM,"(-1710.0, -1680.0]",0.2859277520962202
NBM,"(-1680.0, -1650.0]",0.2687632130535112
NBM,"(-1650.0, -1620.0]",0.2533658716540672
NBM,"(-1620.0, -1590.0]",0.25378793304218594
NBM,"(-1590.0, -1560.0]",0.2240037013852948
NBM,"(-1560.0, -1530.0]",0.25183086647243325
NBM,"(-1530.0, -1500.0]",0.22832139569323187
NBM,"(-1500.0, -1470.0]",0.2404256190915672
NBM,"(-1470.0, -1440.0]",0.250189813930937
NBM,"(-1440.0, -1410.0]",0.2503838363246602
NBM,"(-1410.0, -1380.0]",0.22563927374977816
NBM,"(-1380.0, -1350.0]",0.23868925708086702
NBM,"(-1350.0, -1320.0]",0.21946008551602697
NBM,"(-1320.0, -1290.0]",0.2082218813708079
NBM,"(-1290.0, -1260.0]",0.20675034528482458
NBM,"(-1260.0, -1230.0]",0.1826574230095142
NBM,"(-1230.0, -1200.0]",0.18651284077990649
NBM,"(-1200.0, -1170.0]",0.1805460789052488
NBM,"(-1170.0, -1140.0]",0.17660729126269503
NBM,"(-1140.0, -1110.0]",0.19514221714091695
